"","Div","Season","Rank","Team","HomePlayed","HomeW","HomeD","HomeL","HomeGF","HomeGA","AwayPlayed","AwayW","AwayD","AwayL","AwayGF","AwayGA","Played","GF","GA","GD","Pts"
"1","E0",1,1,"Man United",19,14,4,1,45,18,19,8,9,2,35,19,38,80,37,43,79
"2","E0",1,2,"Arsenal",19,14,5,0,34,5,19,8,7,4,25,12,38,59,17,42,78
"3","E0",1,3,"Chelsea",19,12,6,1,29,13,19,8,9,2,28,17,38,57,30,27,75
"4","E0",1,4,"Leeds",19,12,5,2,32,9,19,6,8,5,30,25,38,62,34,28,67
"5","E0",1,5,"West Ham",19,11,3,5,32,26,19,5,6,8,14,27,38,46,53,-7,57
"6","E0",1,6,"Aston Villa",19,10,3,6,33,28,19,5,7,7,18,18,38,51,46,5,55
"7","E0",1,7,"Liverpool",19,10,5,4,44,24,19,5,4,10,24,25,38,68,49,19,54
"8","E0",1,8,"Derby",19,8,7,4,22,19,19,5,6,8,18,26,38,40,45,-5,52
"9","E0",1,9,"Middlesbrough",19,7,9,3,25,18,19,5,6,8,23,36,38,48,54,-6,51
"10","E0",1,10,"Leicester",19,7,6,6,25,25,19,5,7,7,15,21,38,40,46,-6,49
"11","E0",1,11,"Tottenham",19,7,7,5,28,26,19,4,7,8,19,24,38,47,50,-3,47
"12","E0",1,12,"Newcastle",19,7,6,6,26,25,19,4,7,8,22,29,38,48,54,-6,46
"13","E0",1,12,"Sheffield Weds",19,7,5,7,20,15,19,6,2,11,21,27,38,41,42,-1,46
"14","E0",1,14,"Everton",19,6,8,5,22,12,19,5,2,12,20,35,38,42,47,-5,43
"15","E0",1,15,"Coventry",19,8,6,5,26,21,19,3,3,13,13,30,38,39,51,-12,42
"16","E0",1,15,"Wimbledon",19,7,7,5,22,21,19,3,5,11,18,42,38,40,63,-23,42
"17","E0",1,17,"Southampton",19,9,4,6,29,26,19,2,4,13,8,38,38,37,64,-27,41
"18","E0",1,18,"Charlton",19,4,7,8,20,20,19,4,5,10,21,36,38,41,56,-15,36
"19","E0",1,19,"Blackburn",19,6,5,8,21,24,19,1,9,9,17,28,38,38,52,-14,35
"20","E0",1,20,"Nott'm Forest",19,3,7,9,18,31,19,4,2,13,17,38,38,35,69,-34,30
"21","E0",2,1,"Man United",19,15,4,0,59,16,19,13,3,3,38,29,38,97,45,52,91
"22","E0",2,2,"Arsenal",19,14,3,2,42,17,19,8,4,7,31,26,38,73,43,30,73
"23","E0",2,3,"Leeds",19,12,2,5,29,18,19,9,4,6,29,25,38,58,43,15,69
"24","E0",2,4,"Liverpool",19,11,4,4,28,13,19,8,6,5,23,17,38,51,30,21,67
"25","E0",2,5,"Chelsea",19,12,5,2,35,12,19,6,6,7,18,22,38,53,34,19,65
"26","E0",2,6,"Aston Villa",19,8,8,3,23,12,19,7,5,7,23,23,38,46,35,11,58
"27","E0",2,6,"Sunderland",19,10,6,3,28,17,19,6,4,9,29,39,38,57,56,1,58
"28","E0",2,8,"Leicester",19,10,3,6,31,24,19,6,4,9,24,31,38,55,55,0,55
"29","E0",2,8,"West Ham",19,11,5,3,32,23,19,4,5,10,20,30,38,52,53,-1,55
"30","E0",2,10,"Tottenham",19,10,3,6,40,26,19,5,5,9,17,23,38,57,49,8,53
"31","E0",2,11,"Middlesbrough",19,8,5,6,23,26,19,6,5,8,23,26,38,46,52,-6,52
"32","E0",2,11,"Newcastle",19,10,5,4,42,20,19,4,5,10,21,34,38,63,54,9,52
"33","E0",2,13,"Everton",19,7,9,3,36,21,19,5,5,9,23,28,38,59,49,10,50
"34","E0",2,14,"Coventry",19,12,1,6,38,22,19,0,7,12,9,32,38,47,54,-7,44
"35","E0",2,14,"Southampton",19,8,4,7,26,22,19,4,4,11,19,40,38,45,62,-17,44
"36","E0",2,16,"Derby",19,6,3,10,22,25,19,3,8,8,22,32,38,44,57,-13,38
"37","E0",2,17,"Bradford",19,6,8,5,26,29,19,3,1,15,12,39,38,38,68,-30,36
"38","E0",2,18,"Wimbledon",19,6,7,6,30,28,19,1,5,13,16,46,38,46,74,-28,33
"39","E0",2,19,"Sheffield Weds",19,6,3,10,21,23,19,2,4,13,17,47,38,38,70,-32,31
"40","E0",2,20,"Watford",19,5,4,10,24,31,19,1,2,16,11,46,38,35,77,-42,24
"41","E0",3,1,"Man United",19,15,2,2,49,12,19,9,6,4,30,19,38,79,31,48,80
"42","E0",3,2,"Arsenal",19,15,3,1,45,13,19,5,7,7,18,25,38,63,38,25,70
"43","E0",3,3,"Liverpool",19,13,4,2,40,14,19,7,5,7,31,25,38,71,39,32,69
"44","E0",3,4,"Leeds",19,11,3,5,36,21,19,9,5,5,28,22,38,64,43,21,68
"45","E0",3,5,"Ipswich",19,11,5,3,31,15,19,9,1,9,26,27,38,57,42,15,66
"46","E0",3,6,"Chelsea",19,13,3,3,44,20,19,4,7,8,24,25,38,68,45,23,61
"47","E0",3,7,"Sunderland",19,9,7,3,24,16,19,6,5,8,22,25,38,46,41,5,57
"48","E0",3,8,"Aston Villa",19,8,8,3,27,20,19,5,7,7,19,23,38,46,43,3,54
"49","E0",3,9,"Charlton",19,11,5,3,31,19,19,3,5,11,19,38,38,50,57,-7,52
"50","E0",3,9,"Southampton",19,11,2,6,27,22,19,3,8,8,13,26,38,40,48,-8,52
"51","E0",3,11,"Newcastle",19,10,4,5,26,17,19,4,5,10,18,33,38,44,50,-6,51
"52","E0",3,12,"Tottenham",19,11,6,2,31,16,19,2,4,13,16,38,38,47,54,-7,49
"53","E0",3,13,"Leicester",19,10,4,5,28,23,19,4,2,13,11,28,38,39,51,-12,48
"54","E0",3,14,"Derby",19,8,7,4,23,24,19,2,5,12,14,35,38,37,59,-22,42
"55","E0",3,14,"Everton",19,6,8,5,29,27,19,5,1,13,16,32,38,45,59,-14,42
"56","E0",3,14,"Middlesbrough",19,4,7,8,18,23,19,5,8,6,26,21,38,44,44,0,42
"57","E0",3,14,"West Ham",19,6,6,7,24,20,19,4,6,9,21,30,38,45,50,-5,42
"58","E0",3,18,"Coventry",19,4,7,8,14,23,19,4,3,12,22,40,38,36,63,-27,34
"59","E0",3,18,"Man City",19,4,3,12,20,31,19,4,7,8,21,34,38,41,65,-24,34
"60","E0",3,20,"Bradford",19,4,7,8,20,29,19,1,4,14,10,41,38,30,70,-40,26
"61","E0",4,1,"Arsenal",19,12,4,3,42,25,19,14,5,0,37,11,38,79,36,43,87
