"","Season","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"1",1,"E0","15/08/98","Blackburn","Derby",0,0,"D"
"2",1,"E0","15/08/98","Coventry","Chelsea",2,1,"H"
"3",1,"E0","15/08/98","Everton","Aston Villa",0,0,"D"
"4",1,"E0","15/08/98","Man United","Leicester",2,2,"D"
"5",1,"E0","15/08/98","Middlesbrough","Leeds",0,0,"D"
"6",1,"E0","15/08/98","Newcastle","Charlton",0,0,"D"
"7",1,"E0","15/08/98","Sheffield Weds","West Ham",0,1,"A"
"8",1,"E0","15/08/98","Wimbledon","Tottenham",3,1,"H"
"9",1,"E0","16/08/98","Southampton","Liverpool",1,2,"A"
"10",1,"E0","17/08/98","Arsenal","Nott'm Forest",2,1,"H"
"11",1,"E0","22/08/98","Charlton","Southampton",5,0,"H"
"12",1,"E0","22/08/98","Chelsea","Newcastle",1,1,"D"
"13",1,"E0","22/08/98","Derby","Wimbledon",0,0,"D"
"14",1,"E0","22/08/98","Leicester","Everton",2,0,"H"
"15",1,"E0","22/08/98","Liverpool","Arsenal",0,0,"D"
"16",1,"E0","22/08/98","Nott'm Forest","Coventry",1,0,"H"
"17",1,"E0","22/08/98","Tottenham","Sheffield Weds",0,3,"A"
"18",1,"E0","22/08/98","West Ham","Man United",0,0,"D"
"19",1,"E0","23/08/98","Aston Villa","Middlesbrough",3,1,"H"
"20",1,"E0","24/08/98","Leeds","Blackburn",1,0,"H"
"21",1,"E0","29/08/98","Arsenal","Charlton",0,0,"D"
"22",1,"E0","29/08/98","Blackburn","Leicester",1,0,"H"
"23",1,"E0","29/08/98","Coventry","West Ham",0,0,"D"
"24",1,"E0","29/08/98","Everton","Tottenham",0,1,"A"
"25",1,"E0","29/08/98","Middlesbrough","Derby",1,1,"D"
"26",1,"E0","29/08/98","Sheffield Weds","Aston Villa",0,1,"A"
"27",1,"E0","29/08/98","Southampton","Nott'm Forest",1,2,"A"
"28",1,"E0","29/08/98","Wimbledon","Leeds",1,1,"D"
"29",1,"E0","30/08/98","Newcastle","Liverpool",1,4,"A"
"30",1,"E0","08/09/98","Leeds","Southampton",3,0,"H"
"31",1,"E0","08/09/98","Nott'm Forest","Everton",0,2,"A"
"32",1,"E0","09/09/98","Aston Villa","Newcastle",1,0,"H"
"33",1,"E0","09/09/98","Chelsea","Arsenal",0,0,"D"
"34",1,"E0","09/09/98","Derby","Sheffield Weds",1,0,"H"
"35",1,"E0","09/09/98","Leicester","Middlesbrough",0,1,"A"
"36",1,"E0","09/09/98","Liverpool","Coventry",2,0,"H"
"37",1,"E0","09/09/98","Man United","Charlton",4,1,"H"
